"[u'rozman', u'uji', u'rm4', u'russia', u'membanteras', u'lalat', u'denda', u'mahb', u'apply', u'civil']","[u'yakni', u'akaun', u'bangladesh', u'adakan', u'resolusi', u'sin', u'kepayan', u'siasat', u'bintangor', u'telefon']","[u'lombong', u'sistematik', u'edar', u'kapita', u'bentang', u'pinggang', u'fta', u'kalimantan', u'called', u'tragedi']","[u'kunjung', u'etp', u'dihebahkan', u'makmur', u'nelayan', u'might', u'pinggir', u'ejen', u'junjung', u'tukar']","[u'rukun', u'timpal', u'bsi', u'jawapan', u'borneo', u'perkeso', u'binti', u'kesah', u'trade', u'ktm']","[u'sme', u'selenggara', u'kompaun', u'world', u'rangkum', u'unsur', u'iklim', u'sosioekonomi', u'demam', u'called']","[u'rejab', u'ayam', u'kongsi', u'paksa', u'ekor', u'bayar', u'kelar', u'filem', u'sjkc', u'kanan']","[u'semak', u'sekutu', u'menggerimander', u'hapus', u'bernas', u'tinggal', u'paksa', u'teruk', u'teroka', u'uitm']","[u'ciri', u'mou', u'loteri', u'ratifikasi', u'cermin', u'131598', u'berbeza', u'korban', u'asb', u'rm69']","[u'kompaun', u'nombor', u'hak', u'likely', u'adu', u'1948', u'duti', u'prinsip', u'gdp', u'pakai']"
"[u'senario', u'sabah', u'laksana', u'tetap', u'libat', u'sekolah', u'tangan', u'tuju', u'sarawak', u'bekal']","[u'senario', u'tetap', u'sabah', u'libat', u'laksana', u'sekolah', u'tangan', u'tuju', u'bekal', u'sarawak']","[u'senario', u'sekolah', u'laksana', u'sabah', u'tetap', u'libat', u'tuju', u'tangan', u'sarawak', u'bekal']","[u'senario', u'tetap', u'sabah', u'laksana', u'sekolah', u'tangan', u'tuju', u'libat', u'sarawak', u'jauh']","[u'senario', u'sabah', u'laksana', u'sekolah', u'libat', u'tetap', u'tangan', u'tuju', u'jauh', u'sarawak']","[u'senario', u'sekolah', u'tetap', u'sabah', u'laksana', u'tangan', u'libat', u'tuju', u'jauh', u'sarawak']","[u'senario', u'sabah', u'laksana', u'sekolah', u'tetap', u'sarawak', u'libat', u'tuju', u'tangan', u'jauh']","[u'senario', u'sabah', u'sekolah', u'laksana', u'libat', u'tetap', u'tuju', u'tangan', u'sarawak', u'status']","[u'senario', u'sekolah', u'sabah', u'laksana', u'libat', u'tuju', u'tetap', u'tangan', u'jauh', u'status']","[u'senario', u'sabah', u'laksana', u'sekolah', u'tetap', u'status', u'sarawak', u'libat', u'tuju', u'tangan']"
"[u'senario', u'kesan', u'tetap', u'laksana', u'tangan', u'libat', u'jauh', u'khas', u'sekolah', u'jenayah']","[u'senario', u'tetap', u'kesan', u'tangan', u'sekolah', u'laksana', u'libat', u'jauh', u'jenayah', u'ajar']","[u'senario', u'laksana', u'sekolah', u'jenayah', u'kesan', u'tangan', u'jauh', u'tetap', u'libat', u'sabah']","[u'senario', u'kesan', u'tetap', u'tangan', u'laksana', u'sekolah', u'jauh', u'tuju', u'libat', u'sabah']","[u'senario', u'kesan', u'jauh', u'tangan', u'sekolah', u'tetap', u'laksana', u'jenayah', u'libat', u'sabah']","[u'senario', u'tetap', u'sekolah', u'kesan', u'tangan', u'jauh', u'laksana', u'libat', u'tuju', u'ajar']","[u'senario', u'kesan', u'tetap', u'laksana', u'sekolah', u'jauh', u'tangan', u'sabah', u'tuju', u'libat']","[u'senario', u'kesan', u'sekolah', u'laksana', u'tetap', u'jenayah', u'jauh', u'libat', u'tangan', u'sabah']","[u'senario', u'sekolah', u'laksana', u'jauh', u'kesan', u'jenayah', u'tangan', u'tuju', u'libat', u'tetap']","[u'senario', u'laksana', u'sekolah', u'sabah', u'kesan', u'jenayah', u'tetap', u'tangan', u'status', u'jauh']"
"[u'senario', u'laksana', u'sabah', u'tangan', u'libat', u'tetap', u'ajar', u'nilai', u'kesan', u'bekal']","[u'senario', u'laksana', u'tangan', u'libat', u'sabah', u'tetap', u'ajar', u'kesan', u'siasat', u'sekolah']","[u'senario', u'laksana', u'sabah', u'libat', u'tangan', u'sekolah', u'ajar', u'ancang', u'sarawak', u'status']","[u'senario', u'laksana', u'sabah', u'tangan', u'tetap', u'kesan', u'libat', u'nilai', u'ajar', u'sekolah']","[u'senario', u'laksana', u'sabah', u'libat', u'tangan', u'kesan', u'status', u'bekal', u'ajar', u'tetap']","[u'senario', u'laksana', u'sabah', u'tangan', u'libat', u'tetap', u'ajar', u'sekolah', u'kesan', u'nilai']","[u'senario', u'laksana', u'sabah', u'tangan', u'libat', u'tetap', u'ajar', u'sarawak', u'kesan', u'sekolah']","[u'senario', u'laksana', u'sabah', u'libat', u'status', u'tangan', u'ancang', u'kesan', u'sarawak', u'sekolah']","[u'senario', u'laksana', u'sabah', u'libat', u'tangan', u'ajar', u'status', u'sekolah', u'tuju', u'siasat']","[u'senario', u'laksana', u'sabah', u'status', u'tangan', u'siasat', u'libat', u'ajar', u'sarawak', u'sekolah']"
"[u'senario', u'tetap', u'ajar', u'tangan', u'sabah', u'khas', u'sarawak', u'laksana', u'akibat', u'libat']","[u'senario', u'tetap', u'tangan', u'ajar', u'akibat', u'libat', u'sekolah', u'kesan', u'laksana', u'khas']","[u'senario', u'tetap', u'laksana', u'ajar', u'sekolah', u'tangan', u'sabah', u'sarawak', u'status', u'libat']","[u'senario', u'tetap', u'tangan', u'ajar', u'akibat', u'sekolah', u'kesan', u'sabah', u'sarawak', u'libat']","[u'senario', u'tetap', u'tangan', u'ajar', u'libat', u'sabah', u'laksana', u'khas', u'sarawak', u'status']","[u'senario', u'tetap', u'ajar', u'tangan', u'akibat', u'sekolah', u'sabah', u'sarawak', u'libat', u'kesan']","[u'senario', u'tetap', u'ajar', u'tangan', u'sarawak', u'laksana', u'sabah', u'sekolah', u'akibat', u'libat']","[u'senario', u'tetap', u'ajar', u'laksana', u'sabah', u'libat', u'sekolah', u'tangan', u'status', u'sarawak']","[u'senario', u'tetap', u'ajar', u'tangan', u'sekolah', u'libat', u'status', u'sarawak', u'laksana', u'sabah']","[u'senario', u'tetap', u'sabah', u'ajar', u'laksana', u'status', u'sekolah', u'sarawak', u'tangan', u'libat']"
"[u'senario', u'tetap', u'sabah', u'laksana', u'ajar', u'libat', u'tangan', u'sekolah', u'status', u'rancang']","[u'senario', u'tetap', u'libat', u'tangan', u'laksana', u'sekolah', u'ajar', u'sabah', u'siasat', u'akibat']","[u'senario', u'tetap', u'laksana', u'libat', u'status', u'sekolah', u'sabah', u'tangan', u'rancang', u'ajar']","[u'senario', u'tetap', u'tangan', u'laksana', u'sabah', u'libat', u'ajar', u'status', u'sekolah', u'kesan']","[u'senario', u'tetap', u'libat', u'laksana', u'sabah', u'status', u'tangan', u'sekolah', u'ajar', u'rancang']","[u'senario', u'tetap', u'libat', u'tangan', u'laksana', u'sabah', u'sekolah', u'status', u'ajar', u'akibat']","[u'senario', u'tetap', u'laksana', u'sabah', u'libat', u'tangan', u'sekolah', u'status', u'ajar', u'rancang']","[u'senario', u'tetap', u'libat', u'laksana', u'status', u'sabah', u'sekolah', u'tangan', u'ajar', u'rancang']","[u'senario', u'tetap', u'status', u'libat', u'laksana', u'tangan', u'sekolah', u'sabah', u'ajar', u'siasat']","[u'senario', u'tetap', u'laksana', u'status', u'sabah', u'sekolah', u'ajar', u'libat', u'siasat', u'tangan']"
"[u'senario', u'tetap', u'laksana', u'sabah', u'sekolah', u'tangan', u'libat', u'ajar', u'sarawak', u'bekal']","[u'senario', u'tetap', u'tangan', u'laksana', u'sekolah', u'libat', u'sabah', u'bekal', u'ajar', u'sarawak']","[u'senario', u'laksana', u'sekolah', u'sabah', u'sarawak', u'libat', u'tangan', u'tetap', u'bekal', u'ajar']","[u'senario', u'tetap', u'tangan', u'laksana', u'sabah', u'sekolah', u'sarawak', u'libat', u'kesan', u'bekal']","[u'senario', u'laksana', u'sekolah', u'sabah', u'tetap', u'libat', u'tangan', u'bekal', u'sarawak', u'ajar']","[u'senario', u'tetap', u'sekolah', u'laksana', u'tangan', u'sabah', u'libat', u'sarawak', u'jauh', u'ajar']","[u'senario', u'laksana', u'sabah', u'sekolah', u'tetap', u'sarawak', u'tangan', u'libat', u'bekal', u'ajar']","[u'senario', u'laksana', u'sekolah', u'sabah', u'tetap', u'libat', u'tangan', u'sarawak', u'ajar', u'jauh']","[u'senario', u'laksana', u'sekolah', u'tetap', u'sabah', u'tangan', u'libat', u'sarawak', u'bekal', u'ajar']","[u'senario', u'laksana', u'sekolah', u'sabah', u'tetap', u'sarawak', u'tangan', u'ajar', u'libat', u'bekal']"
"[u'senario', u'sekolah', u'tetap', u'laksana', u'rancang', u'ajar', u'sabah', u'tangan', u'libat', u'bayar']","[u'senario', u'tetap', u'laksana', u'sekolah', u'tangan', u'rancang', u'libat', u'ajar', u'sabah', u'jauh']","[u'senario', u'laksana', u'sekolah', u'rancang', u'tetap', u'status', u'sabah', u'ajar', u'libat', u'tangan']","[u'senario', u'tetap', u'laksana', u'sekolah', u'rancang', u'tangan', u'sabah', u'ajar', u'kaji', u'libat']","[u'senario', u'sekolah', u'laksana', u'rancang', u'tetap', u'sabah', u'libat', u'tangan', u'ajar', u'status']","[u'senario', u'sekolah', u'tetap', u'laksana', u'rancang', u'tangan', u'libat', u'ajar', u'sabah', u'jauh']","[u'senario', u'laksana', u'sekolah', u'rancang', u'tetap', u'sabah', u'ajar', u'tangan', u'libat', u'jauh']","[u'senario', u'sekolah', u'laksana', u'rancang', u'tetap', u'ajar', u'sabah', u'tangan', u'libat', u'status']","[u'senario', u'sekolah', u'laksana', u'status', u'rancang', u'sabah', u'tetap', u'ajar', u'tangan', u'libat']","[u'senario', u'laksana', u'sekolah', u'rancang', u'sabah', u'status', u'tetap', u'ajar', u'tangan', u'libat']"
"[u'senario', u'tetap', u'sabah', u'kaji', u'tangan', u'laksana', u'jauh', u'kesan', u'libat', u'sarawak']","[u'senario', u'tetap', u'tangan', u'kesan', u'laksana', u'sabah', u'kaji', u'jauh', u'libat', u'ancang']","[u'senario', u'laksana', u'tetap', u'sabah', u'tangan', u'ancang', u'kaji', u'jauh', u'kesan', u'sekolah']","[u'senario', u'tetap', u'kesan', u'tangan', u'sabah', u'kaji', u'laksana', u'jauh', u'ancang', u'nilai']","[u'senario', u'sabah', u'tetap', u'tangan', u'laksana', u'libat', u'jauh', u'kaji', u'ancang', u'kesan']","[u'senario', u'tetap', u'tangan', u'jauh', u'sabah', u'kesan', u'kaji', u'laksana', u'libat', u'ancang']","[u'senario', u'tetap', u'sabah', u'laksana', u'kesan', u'jauh', u'tangan', u'kaji', u'ancang', u'sekolah']","[u'senario', u'tetap', u'laksana', u'sabah', u'tangan', u'jauh', u'sekolah', u'kesan', u'libat', u'ancang']","[u'senario', u'sabah', u'tetap', u'laksana', u'tangan', u'jauh', u'status', u'ancang', u'kesan', u'libat']","[u'senario', u'laksana', u'sabah', u'tetap', u'tangan', u'kesan', u'jauh', u'status', u'ancang', u'jenis']"
"[u'senario', u'tetap', u'sabah', u'sekolah', u'laksana', u'kaji', u'libat', u'tangan', u'sarawak', u'jauh']","[u'senario', u'tetap', u'sekolah', u'tangan', u'laksana', u'sabah', u'libat', u'kesan', u'kaji', u'jauh']","[u'senario', u'laksana', u'sekolah', u'tetap', u'sabah', u'tangan', u'ancang', u'sarawak', u'libat', u'jauh']","[u'senario', u'tetap', u'sabah', u'sekolah', u'laksana', u'tangan', u'kaji', u'kesan', u'jauh', u'sarawak']","[u'senario', u'sekolah', u'sabah', u'tetap', u'laksana', u'libat', u'tangan', u'jauh', u'sarawak', u'ancang']","[u'senario', u'tetap', u'sekolah', u'sabah', u'tangan', u'laksana', u'jauh', u'libat', u'kaji', u'akibat']","[u'senario', u'sekolah', u'tetap', u'sabah', u'laksana', u'jauh', u'sarawak', u'libat', u'tangan', u'kaji']","[u'senario', u'sekolah', u'tetap', u'laksana', u'sabah', u'jauh', u'tangan', u'libat', u'kaji', u'sarawak']","[u'senario', u'sabah', u'sekolah', u'tetap', u'laksana', u'tangan', u'libat', u'jauh', u'ancang', u'status']","[u'senario', u'laksana', u'sekolah', u'sabah', u'tetap', u'tangan', u'jauh', u'sarawak', u'ancang', u'libat']"
"[u'senario', u'laksana', u'tetap', u'sabah', u'kesan', u'tangan', u'kaji', u'libat', u'ajar', u'sekolah']","[u'senario', u'tetap', u'laksana', u'kesan', u'tangan', u'sabah', u'libat', u'sekolah', u'diri', u'kaji']","[u'senario', u'laksana', u'sabah', u'tetap', u'tangan', u'kesan', u'sekolah', u'sarawak', u'diri', u'ajar']","[u'senario', u'tetap', u'kesan', u'laksana', u'sabah', u'tangan', u'diri', u'kaji', u'sekolah', u'sarawak']","[u'senario', u'laksana', u'sabah', u'tetap', u'tangan', u'libat', u'sekolah', u'kesan', u'ajar', u'sarawak']","[u'senario', u'tetap', u'laksana', u'tangan', u'sabah', u'kesan', u'sekolah', u'libat', u'kaji', u'tuju']","[u'senario', u'laksana', u'sabah', u'tetap', u'sekolah', u'kesan', u'ajar', u'diri', u'tangan', u'sarawak']","[u'senario', u'laksana', u'tetap', u'sabah', u'sekolah', u'tangan', u'ajar', u'kesan', u'diri', u'libat']","[u'senario', u'laksana', u'sabah', u'tetap', u'tangan', u'kesan', u'diri', u'libat', u'sekolah', u'ajar']","[u'senario', u'laksana', u'sabah', u'sekolah', u'tetap', u'tangan', u'kesan', u'ajar', u'sarawak', u'libat']"
"[u'senario', u'tetap', u'sabah', u'tangan', u'libat', u'ajar', u'sarawak', u'laksana', u'sekolah', u'kesan']","[u'senario', u'tetap', u'tangan', u'sabah', u'libat', u'kesan', u'laksana', u'sekolah', u'siasat', u'ajar']","[u'senario', u'tetap', u'tangan', u'sabah', u'laksana', u'libat', u'sarawak', u'sekolah', u'ajar', u'siasat']","[u'senario', u'tetap', u'tangan', u'sabah', u'kesan', u'libat', u'sarawak', u'ajar', u'laksana', u'sekolah']","[u'senario', u'tetap', u'sabah', u'tangan', u'libat', u'laksana', u'ajar', u'sekolah', u'sarawak', u'status']","[u'senario', u'tetap', u'tangan', u'sabah', u'libat', u'ajar', u'sekolah', u'kesan', u'laksana', u'sarawak']","[u'senario', u'tetap', u'sabah', u'tangan', u'laksana', u'libat', u'ajar', u'sekolah', u'sarawak', u'kesan']","[u'senario', u'tetap', u'tangan', u'sabah', u'sekolah', u'ajar', u'libat', u'laksana', u'sarawak', u'siasat']","[u'senario', u'tetap', u'sabah', u'tangan', u'libat', u'laksana', u'sekolah', u'status', u'ajar', u'sarawak']","[u'senario', u'sabah', u'tangan', u'tetap', u'laksana', u'libat', u'ajar', u'sekolah', u'status', u'sarawak']"
"[u'senario', u'tetap', u'tangan', u'ajar', u'libat', u'laksana', u'sabah', u'sekolah', u'kesan', u'kaji']","[u'senario', u'tetap', u'tangan', u'libat', u'kesan', u'laksana', u'sekolah', u'ajar', u'sabah', u'kaji']","[u'senario', u'tetap', u'laksana', u'tangan', u'libat', u'sekolah', u'ajar', u'sabah', u'tuju', u'kesan']","[u'senario', u'tetap', u'tangan', u'kesan', u'ajar', u'laksana', u'libat', u'sekolah', u'sabah', u'hidup']","[u'senario', u'tetap', u'tangan', u'libat', u'laksana', u'ajar', u'sekolah', u'sabah', u'kesan', u'status']","[u'senario', u'tetap', u'tangan', u'libat', u'ajar', u'laksana', u'sekolah', u'tuju', u'hidup', u'sabah']","[u'senario', u'tetap', u'laksana', u'tangan', u'ajar', u'libat', u'sekolah', u'sabah', u'kesan', u'sarawak']","[u'senario', u'tetap', u'tangan', u'laksana', u'sekolah', u'ajar', u'libat', u'sabah', u'status', u'kesan']","[u'senario', u'tetap', u'tangan', u'laksana', u'sekolah', u'ajar', u'libat', u'tuju', u'sabah', u'status']","[u'senario', u'tetap', u'laksana', u'tangan', u'sekolah', u'ajar', u'libat', u'sabah', u'status', u'kesan']"
"[u'senario', u'tetap', u'sabah', u'sekolah', u'ajar', u'tangan', u'libat', u'status', u'laksana', u'sarawak']","[u'senario', u'tetap', u'sekolah', u'sabah', u'tangan', u'libat', u'ajar', u'laksana', u'status', u'tuju']","[u'senario', u'laksana', u'sabah', u'status', u'sekolah', u'tetap', u'tangan', u'libat', u'ajar', u'tuju']","[u'senario', u'tetap', u'sekolah', u'sabah', u'tangan', u'ajar', u'libat', u'sarawak', u'status', u'laksana']","[u'senario', u'tetap', u'sekolah', u'sabah', u'status', u'ajar', u'libat', u'tangan', u'laksana', u'sarawak']","[u'senario', u'tetap', u'sekolah', u'sabah', u'status', u'libat', u'tangan', u'tuju', u'ajar', u'milik']","[u'senario', u'tetap', u'sabah', u'sekolah', u'laksana', u'status', u'ajar', u'libat', u'tangan', u'sarawak']","[u'senario', u'tetap', u'sekolah', u'sabah', u'status', u'tangan', u'ajar', u'laksana', u'libat', u'sarawak']","[u'senario', u'sekolah', u'tetap', u'status', u'sabah', u'ajar', u'laksana', u'libat', u'tangan', u'tuju']","[u'senario', u'sekolah', u'tetap', u'status', u'sabah', u'laksana', u'ajar', u'libat', u'tangan', u'tuju']"
"[u'senario', u'tetap', u'laksana', u'sekolah', u'ajar', u'sabah', u'sarawak', u'kaji', u'tangan', u'rancang']","[u'senario', u'tetap', u'laksana', u'sekolah', u'sabah', u'tangan', u'ajar', u'kesan', u'sarawak', u'akibat']","[u'senario', u'laksana', u'tetap', u'sekolah', u'sabah', u'sarawak', u'rancang', u'status', u'ajar', u'tangan']","[u'senario', u'tetap', u'laksana', u'ajar', u'sekolah', u'tangan', u'sarawak', u'sabah', u'nilai', u'kesan']","[u'senario', u'tetap', u'laksana', u'sekolah', u'ajar', u'sabah', u'sarawak', u'tangan', u'nilai', u'status']","[u'senario', u'tetap', u'sekolah', u'laksana', u'ajar', u'sarawak', u'sabah', u'kaji', u'tangan', u'akibat']","[u'senario', u'tetap', u'laksana', u'sekolah', u'ajar', u'sabah', u'sarawak', u'rancang', u'status', u'kaji']","[u'senario', u'laksana', u'tetap', u'sekolah', u'ajar', u'sabah', u'status', u'rancang', u'sarawak', u'tangan']","[u'senario', u'tetap', u'laksana', u'sekolah', u'status', u'ajar', u'sabah', u'sarawak', u'tangan', u'nilai']","[u'senario', u'laksana', u'tetap', u'sekolah', u'ajar', u'sabah', u'status', u'sarawak', u'rancang', u'nilai']"
"[u'senario', u'tetap', u'sabah', u'laksana', u'tangan', u'sarawak', u'sekolah', u'libat', u'ajar', u'khas']","[u'senario', u'tetap', u'tangan', u'sabah', u'laksana', u'sekolah', u'sarawak', u'libat', u'kesan', u'akibat']","[u'senario', u'laksana', u'tetap', u'sabah', u'sarawak', u'tangan', u'status', u'sekolah', u'khusus', u'tuju']","[u'senario', u'tetap', u'tangan', u'sarawak', u'sabah', u'sekolah', u'laksana', u'ajar', u'nilai', u'libat']","[u'senario', u'tetap', u'laksana', u'sabah', u'sekolah', u'sarawak', u'tangan', u'ajar', u'status', u'libat']","[u'senario', u'tetap', u'tangan', u'sekolah', u'sabah', u'laksana', u'sarawak', u'tuju', u'libat', u'akibat']","[u'senario', u'tetap', u'laksana', u'sabah', u'tangan', u'sarawak', u'sekolah', u'libat', u'status', u'ajar']","[u'senario', u'tetap', u'laksana', u'sekolah', u'sabah', u'tangan', u'sarawak', u'status', u'ajar', u'libat']","[u'senario', u'tetap', u'laksana', u'tangan', u'sabah', u'sekolah', u'status', u'sarawak', u'libat', u'khusus']","[u'senario', u'tetap', u'laksana', u'status', u'sabah', u'sekolah', u'tangan', u'sarawak', u'libat', u'ajar']"
"[u'senario', u'tetap', u'laksana', u'tangan', u'sabah', u'sekolah', u'kaji', u'sarawak', u'jauh', u'tuju']","[u'senario', u'tetap', u'tangan', u'laksana', u'sabah', u'sekolah', u'sarawak', u'lulus', u'jauh', u'siasat']","[u'senario', u'laksana', u'tetap', u'tangan', u'sabah', u'jauh', u'sekolah', u'sarawak', u'tuju', u'status']","[u'senario', u'tetap', u'tangan', u'laksana', u'sabah', u'sarawak', u'sekolah', u'kaji', u'jauh', u'segera']","[u'senario', u'tetap', u'laksana', u'tangan', u'sekolah', u'sabah', u'jauh', u'sarawak', u'lulus', u'siasat']","[u'senario', u'tetap', u'tangan', u'laksana', u'sekolah', u'sabah', u'jauh', u'kaji', u'segera', u'tuju']","[u'senario', u'tetap', u'laksana', u'tangan', u'sabah', u'jauh', u'sekolah', u'sarawak', u'kaji', u'tuju']","[u'senario', u'tetap', u'laksana', u'tangan', u'sabah', u'sekolah', u'jauh', u'sarawak', u'kaji', u'status']","[u'senario', u'tetap', u'laksana', u'tangan', u'sabah', u'sekolah', u'jauh', u'status', u'sarawak', u'siasat']","[u'senario', u'laksana', u'tetap', u'tangan', u'sabah', u'sekolah', u'status', u'jauh', u'sarawak', u'libat']"
"[u'senario', u'laksana', u'sabah', u'tetap', u'kesan', u'ajar', u'sarawak', u'tangan', u'libat', u'kaji']","[u'senario', u'tetap', u'kesan', u'laksana', u'sabah', u'tangan', u'libat', u'sarawak', u'ajar', u'sekolah']","[u'senario', u'laksana', u'sabah', u'kesan', u'libat', u'sarawak', u'tangan', u'ajar', u'tetap', u'tuju']","[u'senario', u'laksana', u'tetap', u'sabah', u'kesan', u'sarawak', u'libat', u'ajar', u'tangan', u'kaji']","[u'senario', u'laksana', u'sabah', u'ajar', u'tetap', u'sarawak', u'libat', u'kesan', u'tangan', u'sekolah']","[u'senario', u'tetap', u'laksana', u'libat', u'kesan', u'sabah', u'tangan', u'ajar', u'sarawak', u'akibat']","[u'senario', u'laksana', u'kesan', u'sabah', u'ajar', u'tetap', u'libat', u'sarawak', u'tangan', u'sekolah']","[u'senario', u'laksana', u'sabah', u'ajar', u'tetap', u'kesan', u'sarawak', u'tangan', u'libat', u'sekolah']","[u'senario', u'laksana', u'sabah', u'tetap', u'kesan', u'libat', u'tangan', u'ajar', u'sarawak', u'sekolah']","[u'senario', u'laksana', u'ajar', u'sabah', u'libat', u'sarawak', u'kesan', u'tangan', u'tetap', u'sekolah']"
"[u'senario', u'ajar', u'tetap', u'libat', u'sabah', u'sarawak', u'laksana', u'sekolah', u'tangan', u'kaji']","[u'senario', u'ajar', u'tetap', u'libat', u'sabah', u'sekolah', u'tangan', u'sarawak', u'laksana', u'kesan']","[u'senario', u'ajar', u'libat', u'laksana', u'sabah', u'sarawak', u'ancang', u'status', u'tetap', u'sekolah']","[u'senario', u'ajar', u'libat', u'tetap', u'sarawak', u'sabah', u'kaji', u'laksana', u'sekolah', u'kesan']","[u'senario', u'ajar', u'libat', u'tetap', u'sekolah', u'sabah', u'sarawak', u'laksana', u'tangan', u'status']","[u'senario', u'ajar', u'libat', u'tetap', u'sabah', u'sekolah', u'sarawak', u'tangan', u'laksana', u'kaji']","[u'senario', u'ajar', u'libat', u'sekolah', u'laksana', u'tetap', u'sabah', u'sarawak', u'kesan', u'status']","[u'senario', u'ajar', u'libat', u'sabah', u'tetap', u'sekolah', u'laksana', u'sarawak', u'status', u'ancang']","[u'senario', u'ajar', u'libat', u'tetap', u'sekolah', u'sabah', u'laksana', u'status', u'sarawak', u'tangan']","[u'senario', u'ajar', u'libat', u'laksana', u'sabah', u'sekolah', u'tetap', u'status', u'ancang', u'sarawak']"
"[u'senario', u'laksana', u'tetap', u'tangan', u'sabah', u'libat', u'kesan', u'sarawak', u'ajar', u'sekolah']","[u'senario', u'tangan', u'tetap', u'laksana', u'libat', u'sabah', u'sekolah', u'kesan', u'ajar', u'sarawak']","[u'senario', u'laksana', u'libat', u'tangan', u'sabah', u'status', u'tetap', u'ancang', u'sarawak', u'kesan']","[u'senario', u'tangan', u'laksana', u'tetap', u'libat', u'kesan', u'sabah', u'kaji', u'sarawak', u'ajar']","[u'senario', u'laksana', u'tangan', u'tetap', u'libat', u'sabah', u'sarawak', u'ajar', u'sekolah', u'status']","[u'senario', u'tetap', u'tangan', u'libat', u'laksana', u'sabah', u'kesan', u'sarawak', u'status', u'kaji']","[u'senario', u'laksana', u'tangan', u'tetap', u'libat', u'sabah', u'kesan', u'ajar', u'status', u'sarawak']","[u'senario', u'laksana', u'tangan', u'tetap', u'sabah', u'libat', u'sarawak', u'status', u'sekolah', u'kesan']","[u'senario', u'laksana', u'tangan', u'tetap', u'libat', u'sabah', u'status', u'sekolah', u'sarawak', u'kesan']","[u'senario', u'laksana', u'tangan', u'libat', u'tetap', u'sabah', u'status', u'ajar', u'ancang', u'sarawak']"
"[u'senario', u'tetap', u'jauh', u'kesan', u'kaji', u'sekolah', u'sabah', u'laksana', u'tangan', u'libat']","[u'senario', u'tetap', u'sekolah', u'jauh', u'tangan', u'kesan', u'kaji', u'libat', u'sabah', u'rancang']","[u'senario', u'rancang', u'jauh', u'laksana', u'sekolah', u'libat', u'kaji', u'kesan', u'tetap', u'khusus']","[u'senario', u'kaji', u'kesan', u'tetap', u'jauh', u'sekolah', u'tangan', u'libat', u'rancang', u'laksana']","[u'senario', u'sekolah', u'tetap', u'jauh', u'rancang', u'laksana', u'kesan', u'libat', u'sabah', u'khusus']","[u'senario', u'jauh', u'tetap', u'kesan', u'kaji', u'sekolah', u'tangan', u'libat', u'rancang', u'sabah']","[u'senario', u'jauh', u'kaji', u'sekolah', u'rancang', u'kesan', u'tetap', u'laksana', u'libat', u'tangan']","[u'senario', u'jauh', u'sekolah', u'rancang', u'tetap', u'kesan', u'kaji', u'laksana', u'libat', u'sabah']","[u'senario', u'jauh', u'sekolah', u'tetap', u'libat', u'kesan', u'laksana', u'tangan', u'rancang', u'sabah']","[u'senario', u'laksana', u'jauh', u'sekolah', u'libat', u'rancang', u'tetap', u'kaji', u'khusus', u'kesan']"
"[u'senario', u'tetap', u'sabah', u'laksana', u'tangan', u'sarawak', u'wujud', u'kesan', u'nilai', u'siasat']","[u'senario', u'tetap', u'tangan', u'sabah', u'sarawak', u'laksana', u'sekolah', u'siasat', u'tuju', u'kesan']","[u'senario', u'tetap', u'laksana', u'sabah', u'sarawak', u'tangan', u'status', u'sekolah', u'senarai', u'wujud']","[u'senario', u'tetap', u'tangan', u'sarawak', u'sabah', u'laksana', u'ajar', u'sekolah', u'kesan', u'diri']","[u'senario', u'tetap', u'sabah', u'laksana', u'sarawak', u'tangan', u'sekolah', u'ajar', u'wujud', u'siasat']","[u'senario', u'tetap', u'tangan', u'sabah', u'laksana', u'sarawak', u'sekolah', u'senarai', u'akibat', u'kesan']","[u'senario', u'tetap', u'laksana', u'sabah', u'tangan', u'sarawak', u'kesan', u'sekolah', u'siasat', u'jauh']","[u'senario', u'tetap', u'laksana', u'sabah', u'tangan', u'sarawak', u'sekolah', u'ajar', u'jauh', u'senarai']","[u'senario', u'tetap', u'laksana', u'sabah', u'tangan', u'sarawak', u'sekolah', u'status', u'wujud', u'siasat']","[u'senario', u'laksana', u'tetap', u'sabah', u'tangan', u'sarawak', u'status', u'ajar', u'wujud', u'libat']"
